model,class,precision,recall,f1,support
KNN,BARBUNYA,0.953307392996109,0.9040590405904059,0.928030303030303,271
KNN,BOMBAY,1.0,1.0,1.0,111
KNN,CALI,0.9161676646706587,0.9415384615384615,0.9286798179059179,325
KNN,DERMASON,0.9028985507246376,0.9015918958031838,0.9022447501810282,691
KNN,HOROZ,0.9720812182741116,0.9527363184079602,0.9623115577889448,402
KNN,SEKER,0.9473684210526315,0.9473684210526315,0.9473684210526315,418
KNN,SIRA,0.8592870544090057,0.882466281310212,0.870722433460076,519
ID3,BARBUNYA,0.8876811594202898,0.9040590405904059,0.8957952468007313,271
ID3,BOMBAY,1.0,1.0,1.0,111
ID3,CALI,0.9267515923566879,0.8953846153846153,0.9107981220657276,325
ID3,DERMASON,0.8892045454545454,0.9059334298118669,0.8974910394265233,691
ID3,HOROZ,0.9494949494949495,0.9353233830845771,0.9423558897243107,402
ID3,SEKER,0.9142857142857143,0.9186602870813397,0.9164677804295943,418
ID3,SIRA,0.8507751937984496,0.8458574181117534,0.8483091787439613,519
Random Forest,BARBUNYA,0.9154411764705882,0.9188191881918819,0.9171270718232044,271
Random Forest,BOMBAY,1.0,1.0,1.0,111
Random Forest,CALI,0.9375,0.9230769230769231,0.9302325581395349,325
Random Forest,DERMASON,0.9014084507042254,0.9261939218523878,0.9136331192005709,691
Random Forest,HOROZ,0.969309462915601,0.9427860696517413,0.9558638083228247,402
Random Forest,SEKER,0.9360189573459715,0.9449760765550239,0.9404761904761906,418
Random Forest,SIRA,0.8845401174168297,0.8709055876685935,0.8776699029126214,519
BP Neural Network,BARBUNYA,0.8839590443686007,0.955719557195572,0.9184397163120568,271
BP Neural Network,BOMBAY,1.0,1.0,1.0,111
BP Neural Network,CALI,0.9504950495049505,0.8861538461538462,0.9171974522292993,325
BP Neural Network,DERMASON,0.9404580152671755,0.8914616497829233,0.9153046062407132,691
BP Neural Network,HOROZ,0.9669211195928753,0.945273631840796,0.9559748427672956,402
BP Neural Network,SEKER,0.9140271493212669,0.9665071770334929,0.9395348837209303,418
BP Neural Network,SIRA,0.8611111111111112,0.8959537572254336,0.8781869688385271,519
